VALUE.OFFSET,VALUE.SPEED,VALUE.TRACKID,VALUE.TRACKPOS,VALUE.BATTERY,VALUE.LAP,VALUE.RANK,VALUE.USER
-65.24400329589844,700,23,32,4128,4,1,1
-65.24400329589844,688,23,33,4131,4,1,1
-65.24400329589844,681,18,34,4127,4,1,1
-65.24400329589844,665,18,32,4124,4,1,1
-65.24400329589844,680,34,2,4125,4,1,1
-65.24400329589844,679,34,3,4122,4,1,1
-65.24400329589844,689,20,33,4164,5,1,1
-65.24400329589844,684,20,34,4135,5,1,1
-65.24400329589844,671,33,1,4123,5,1,1
-65.24400329589844,677,20,32,4156,5,1,1
-65.24400329589844,687,17,33,4143,5,1,1
-65.24400329589844,692,17,34,4149,5,1,1
-65.24400329589844,694,17,32,4141,5,1,1
-65.24400329589844,699,39,43,4206,5,1,1
-65.24400329589844,690,39,44,4156,5,1,1
-65.24400329589844,684,39,42,4209,5,1,1
-65.24400329589844,677,23,34,4192,5,1,1
-65.24400329589844,692,23,32,4184,5,1,1
-65.24400329589844,668,18,34,4162,5,1,1
-65.24400329589844,693,18,33,4156,5,1,1
-65.24400329589844,699,18,32,4154,5,1,1
-65.24400329589844,691,34,2,4148,5,1,1
-65.24400329589844,709,34,3,4142,5,1,1
-65.24400329589844,698,33,1,4138,6,1,1
-65.24400329589844,677,20,34,4201,6,1,1
-65.24400329589844,676,20,33,4189,6,1,1
-65.24400329589844,672,20,32,4180,6,1,1
-65.24400329589844,676,17,34,4164,6,1,1
-65.24400329589844,688,17,33,4157,6,1,1
-65.24400329589844,707,17,32,4172,6,1,1
-65.24400329589844,672,39,44,4164,6,1,1
-65.24400329589844,684,39,42,4152,6,1,1
-65.24400329589844,690,39,43,4156,6,1,1
-65.24400329589844,673,23,34,4144,6,1,1
-65.24400329589844,716,23,33,4139,6,1,1
-65.24400329589844,686,23,32,4133,6,1,1
-65.24400329589844,689,18,34,4130,6,1,1
-65.24400329589844,686,18,33,4124,6,1,1
-65.24400329589844,663,18,32,4120,6,1,1
-65.24400329589844,679,34,2,4119,6,1,1
-65.24400329589844,693,34,3,4119,6,1,1
-65.24400329589844,680,33,1,4116,7,1,1
-65.24400329589844,694,20,34,4148,7,1,1
-65.24400329589844,687,20,33,4140,7,1,1
-65.24400329589844,685,20,32,4137,7,1,1
-65.24400329589844,715,17,34,4141,7,1,1
-65.24400329589844,683,17,33,4134,7,1,1
-65.24400329589844,703,17,32,4132,7,1,1
-65.24400329589844,711,39,44,4129,7,1,1
-65.24400329589844,703,39,43,4123,7,1,1
-65.24400329589844,687,39,42,4121,7,1,1
-65.24400329589844,671,23,34,4119,7,1,1
-65.24400329589844,667,23,33,4113,7,1,1
-65.24400329589844,702,23,32,4111,7,1,1
-65.24400329589844,669,18,34,4111,7,1,1
-65.24400329589844,703,18,33,4109,7,1,1
-65.24400329589844,670,18,32,4108,7,1,1
-65.24400329589844,688,34,2,4108,7,1,1
-65.24400329589844,704,34,3,4107,7,1,1
-65.24400329589844,691,33,1,4106,8,1,1
-65.24400329589844,679,20,34,4107,8,1,1
-65.24400329589844,690,20,33,4108,8,1,1
-65.24400329589844,663,20,32,4108,8,1,1
-65.24400329589844,698,17,34,4107,8,1,1
-65.24400329589844,680,17,33,4106,8,1,1
-65.24400329589844,698,17,32,4104,8,1,1
-65.24400329589844,667,39,44,4101,8,1,1
-65.24400329589844,690,39,43,4101,8,1,1
-65.24400329589844,690,39,42,4101,8,1,1
-65.24400329589844,692,23,34,4105,8,1,1
-65.24400329589844,694,23,33,4100,8,1,1
-65.24400329589844,683,23,32,4098,8,1,1
-65.24400329589844,696,18,34,4105,8,1,1
-65.24400329589844,682,18,33,4106,8,1,1
-65.24400329589844,681,18,32,4106,8,1,1
-65.24400329589844,682,33,1,4104,9,1,1
-65.24400329589844,691,34,2,4105,8,1,1
-65.24400329589844,690,34,3,4105,8,1,1
-65.24400329589844,695,20,33,4102,9,1,1
-65.24400329589844,689,20,34,4103,9,1,1
-65.24400329589844,676,20,32,4103,9,1,1
-65.24400329589844,687,17,34,4114,9,1,1
-65.24400329589844,676,17,33,4113,9,1,1
-65.24400329589844,693,39,44,4107,9,1,1
-65.24400329589844,670,17,32,4111,9,1,1
-65.24400329589844,699,39,43,4107,9,1,1
-65.24400329589844,695,23,32,4105,9,1,1
-65.24400329589844,674,23,33,4105,9,1,1
-65.24400329589844,665,18,34,4105,9,1,1
-65.24400329589844,683,18,33,4141,9,1,1
-65.24400329589844,679,39,42,4106,9,1,1
-65.24400329589844,697,34,2,4132,9,1,1
-65.24400329589844,701,18,32,4135,9,1,1
-65.24400329589844,669,23,34,4107,9,1,1
-65.24400329589844,710,34,3,4123,9,1,1
-65.24400329589844,693,33,1,4174,10,1,1
-65.24400329589844,682,20,34,4176,10,1,1
-65.24400329589844,700,20,33,4170,10,1,1
-65.24400329589844,669,20,32,4223,10,1,1
-65.24400329589844,676,17,34,4230,10,1,1
-65.24400329589844,699,17,33,4208,10,1,1
-65.24400329589844,709,17,32,4193,10,1,1
-65.24400329589844,679,39,44,4196,10,1,1
-65.24400329589844,691,39,43,4175,10,1,1
-65.24400329589844,684,23,34,4164,10,1,1
-65.24400329589844,695,39,42,4167,10,1,1
-65.24400329589844,692,23,33,4153,10,1,1
-65.24400329589844,699,18,34,4132,10,1,1
-65.24400329589844,688,23,32,4140,10,1,1
-65.24400329589844,684,18,33,4125,10,1,1
-65.24400329589844,667,18,32,4125,10,1,1
-65.24400329589844,684,34,2,4122,10,1,1
-65.24400329589844,684,34,3,4118,10,1,1
-65.24400329589844,667,33,1,4114,11,1,1
-65.24400329589844,683,20,34,4112,11,1,1
-65.24400329589844,688,20,33,4109,11,1,1
-65.24400329589844,668,20,32,4106,11,1,1
-65.24400329589844,690,17,34,4103,11,1,1
-65.24400329589844,680,17,33,4102,11,1,1
-65.24400329589844,724,17,32,4101,11,1,1
-65.24400329589844,691,39,44,4100,11,1,1
-65.24400329589844,691,39,43,4101,11,1,1
-65.24400329589844,673,39,42,4100,11,1,1
-65.24400329589844,669,23,34,4099,11,1,1
-65.24400329589844,666,23,33,4098,11,1,1
-65.24400329589844,696,23,32,4098,11,1,1
-65.24400329589844,681,18,34,4096,11,1,1
-65.24400329589844,670,18,33,4095,11,1,1
-65.24400329589844,447,34,2,4094,11,1,1
-65.24400329589844,444,34,3,4148,11,1,1
-65.24400329589844,433,33,1,4141,12,1,1
-65.24400329589844,416,20,34,4132,12,1,1
-65.24400329589844,464,20,33,4129,12,1,1
-65.24400329589844,452,20,32,4123,12,1,1
-65.24400329589844,454,17,33,4121,12,1,1
-65.24400329589844,431,17,34,4129,12,1,1
-65.24400329589844,467,17,32,4117,12,1,1
-65.24400329589844,448,39,43,4107,12,1,1
-65.24400329589844,456,39,44,4114,12,1,1
-65.24400329589844,450,39,42,4107,12,1,1
-65.24400329589844,447,23,34,4105,12,1,1
-65.24400329589844,426,23,33,4103,12,1,1
-65.24400329589844,632,23,32,4100,12,1,1
-65.24400329589844,707,18,34,4097,12,1,1
-65.24400329589844,696,18,33,4108,12,1,1
-65.24400329589844,677,18,32,4104,12,1,1
-65.24400329589844,709,34,2,4104,12,1,1
-65.24400329589844,700,34,3,4102,12,1,1
-65.24400329589844,693,33,1,4123,13,1,1
-65.24400329589844,688,20,34,4119,13,1,1
-65.24400329589844,697,20,33,4135,13,1,1
-65.24400329589844,709,20,32,4130,13,1,1
-65.24400329589844,675,17,34,4143,13,1,1
-65.24400329589844,681,17,33,4160,13,1,1
-65.24400329589844,707,17,32,4150,13,1,1
-65.24400329589844,705,39,44,4141,13,1,1
-65.24400329589844,705,39,43,4143,13,1,1
-65.24400329589844,701,39,42,4136,13,1,1
-65.24400329589844,675,23,34,4132,13,1,1
-65.24400329589844,690,23,33,4125,13,1,1
-65.24400329589844,964,23,32,4116,13,1,1
-65.24400329589844,1000,34,2,4094,13,1,1
-65.24400329589844,957,18,32,4105,13,1,1
-65.24400329589844,1009,34,3,4091,13,1,1
-65.24400329589844,1020,33,1,4142,14,1,1
-65.24400329589844,999,20,32,4136,14,1,1
-65.24400329589844,977,17,33,4113,14,1,1
654321,400,17,10,4108,0,0,0
654321,420,17,11,4073,0,0,0
654321,381,20,10,4105,0,0,0
654321,413,20,11,4084,0,0,0
654321,417,39,32,4076,0,0,0
654321,418,39,31,4064,0,0,0
-23,402,39,30,4116,0,0,0
-23,398,23,10,4096,0,1,0
-23,401,23,11,4079,0,1,0
-23,364,18,10,4088,0,1,0
-23,394,18,11,4104,0,1,0
-23,406,34,11,4084,0,1,0
-23,392,33,5,4057,1,1,0
-23,388,17,10,4047,1,1,0
-23,389,17,11,4038,1,1,0
-23,397,20,11,4033,1,1,0
-23,399,39,32,4028,1,1,0
-23,426,39,31,4028,1,1,0
-23,424,39,30,4026,1,1,0
-23,390,23,10,4067,1,1,0
-23,391,23,11,4065,1,1,0
-23,361,18,10,4055,1,1,0
-23,405,18,11,4049,1,1,0
-23,373,34,10,4107,1,1,0
-23,383,34,11,4070,1,1,0
-23,384,33,5,4059,2,1,0
-67.46399688720703,604,20,0,4055,2,1,0
-67.46399688720703,581,20,1,4025,2,1,0
-67.46399688720703,589,39,47,4042,2,1,0
-67.46399688720703,641,39,46,4091,2,1,0
-67.46399688720703,611,39,45,4084,2,1,0
-67.46399688720703,575,23,0,4076,2,1,0
-67.46399688720703,608,23,1,4058,2,1,0
-67.46399688720703,581,18,0,4053,2,1,0
-67.46399688720703,587,18,1,4039,2,1,0
-67.46399688720703,607,34,0,4034,2,1,0
null,null,null,null,4181,0,0,0
-67.46399688720703,539,17,0,4018,2,1,1
-67.46399688720703,529,17,1,4069,2,1,1
-67.46399688720703,539,20,0,4056,2,1,1
-67.46399688720703,533,20,1,4057,2,1,1
-67.46399688720703,377,39,47,4088,2,1,1
-67.46399688720703,361,39,46,4067,2,1,1
-67.46399688720703,376,39,45,4054,2,1,1
-67.46399688720703,595,18,0,4049,2,1,1
-67.46399688720703,595,18,1,4077,2,1,1
-67.46399688720703,615,34,0,4067,2,1,1
null,null,null,null,4181,0,0,0
-67.46399688720703,109,33,0,4043,3,1,1
-67.46399688720703,348,17,0,4000,3,1,1
-67.46399688720703,327,17,1,3979,3,1,1
-67.46399688720703,197,39,47,3970,3,1,1
-67.46399688720703,230,39,46,4058,3,1,1
-67.46399688720703,981,39,45,4018,3,1,1
-67.46399688720703,793,34,0,3993,3,1,1
-67.46399688720703,768,34,1,3992,3,1,1
-67.46399688720703,572,33,0,3984,4,1,1
654321,378,33,5,4105,1,0,0
654321,404,17,10,4094,1,0,0
-58.54000091552734,404,17,1,4172,0,0,0
654321,388,17,11,4092,1,0,0
-58.54000091552734,379,20,0,4145,0,0,0
654321,380,20,10,4087,1,0,0
-58.54000091552734,409,20,1,4141,0,0,0
654321,381,20,11,4082,1,0,0
-58.54000091552734,397,39,47,4139,0,0,0
-58.54000091552734,397,39,46,4141,0,0,0
654321,384,39,32,4078,1,0,0
-68,394,39,45,4140,0,1,0
654321,394,39,31,4102,1,0,0
-23,413,39,30,4094,1,0,0
-68,368,23,0,4138,0,2,0
-68,400,23,1,4143,0,2,0
-23,399,23,10,4087,1,1,0
-68,391,18,0,4161,0,2,0
-23,398,23,11,4080,1,1,0
-23,363,18,10,4075,1,1,0
-68,403,34,0,4152,0,2,0
-23,392,18,11,4070,1,1,0
-68,412,34,1,4142,0,2,0
-23,388,34,10,4069,1,1,0
-68,405,33,0,4140,1,2,0
-23,399,34,11,4108,1,1,0
-68,381,17,0,4140,1,2,0
-23,395,33,5,4097,2,1,0
-68,383,17,1,4136,1,2,0
-68,397,20,0,4132,1,2,0
-23,384,17,10,4089,2,1,0
-68,399,20,1,4131,1,2,0
-23,391,17,11,4080,2,1,0
-23,380,20,10,4091,2,1,0
-68,394,39,46,4128,1,2,0
-23,408,20,11,4081,2,1,0
-68,403,39,45,4125,1,2,0
-23,388,39,32,4075,2,1,0
-68,390,23,0,4125,1,2,0
-23,415,39,31,4069,2,1,0
-68,389,23,1,4129,1,2,0
-23,419,39,30,4072,2,1,0
-68,402,18,0,4124,1,2,0
-68,376,18,1,4121,1,2,0
-23,387,23,10,4066,2,1,0
-23,388,23,11,4091,2,1,0
-68,401,34,1,4138,1,2,0
-23,376,18,10,4081,2,1,0
-68,400,33,0,4131,2,2,0
-23.0880012512207,607,20,10,4180,2,2,0
-67.46399688720703,611,33,0,4071,3,1,0
-23.0880012512207,597,20,11,4183,2,2,0
-67.46399688720703,592,17,0,4069,3,1,0
-67.46399688720703,584,17,1,4062,3,1,0
-23.0880012512207,612,39,32,4171,2,2,0
-23.0880012512207,599,39,31,4223,2,2,0
-67.46399688720703,585,20,0,4059,3,1,0
-23.0880012512207,587,39,30,4204,2,2,0
-67.46399688720703,593,20,1,4053,3,1,0
-67.46399688720703,601,39,47,4050,3,1,0
-23.0880012512207,558,23,10,4192,2,2,0
-67.46399688720703,609,39,46,4048,3,1,0
-23.0880012512207,614,23,11,4173,2,2,0
-67.46399688720703,597,39,45,4049,3,1,0
-23.0880012512207,584,18,10,4159,2,2,0
-67.46399688720703,593,23,0,4047,3,1,0
-23.0880012512207,583,18,11,4146,2,2,0
-67.46399688720703,608,23,1,4042,3,1,0
-23.0880012512207,599,34,10,4142,2,2,0
-67.46399688720703,590,18,1,4043,3,1,0
-67.46399688720703,587,18,0,4046,3,1,0
-67.46399688720703,590,18,1,4042,3,1,0
-67.46399688720703,588,34,0,4042,3,1,0
null,null,null,null,4093,0,0,0
-23.0880012512207,404,34,104,4126,2,2,0
null,null,null,null,4093,0,0,0
654321,410,33,4,3864,1,0,0
654321,394,17,8,3854,1,0,0
654321,426,17,9,3849,1,0,0
654321,405,20,9,3844,1,0,0
-49.34000396728515,423,20,9,3806,0,0,0
654321,379,39,35,3839,1,0,0
-49.34000396728515,395,39,35,3729,0,0,0
654321,401,39,34,3839,1,0,0
-49.34000396728515,405,39,34,3750,0,0,0
-32,418,39,33,3838,1,1,0
-32,411,39,33,3804,0,2,0
-32,389,23,8,3837,1,1,0
-32,401,23,8,3793,0,2,0
-32,395,23,9,3912,1,1,0
-32,401,23,9,3780,0,2,0
-32,407,18,8,3897,1,1,0
-32,398,18,8,3773,0,2,0
-32,390,18,9,3900,1,1,0
-32,389,18,9,3768,0,2,0
-32,424,34,8,3883,1,1,0
-32,396,34,8,3789,0,2,0
-32,401,34,9,3867,1,1,0
-32,392,34,9,3780,0,2,0
-32,398,33,4,3857,2,1,0
-32,401,33,4,3776,1,2,0
-32,389,17,8,3850,2,1,0
-32,402,17,8,3772,1,2,0
-32,396,17,9,3843,2,1,0
-32,389,17,9,3765,1,2,0
-32,370,20,8,3839,2,1,0
-32,380,20,8,3762,1,2,0
-32,408,20,9,3838,2,1,0
-32,387,20,9,3752,1,2,0
-32,375,39,35,3833,2,1,0
-32,390,39,35,3751,1,2,0
-32,392,39,34,3843,2,1,0
-32,405,39,34,3751,1,2,0
-32,397,39,33,3838,2,1,0
-32,398,39,33,3809,1,2,0
-32,384,23,8,3835,2,1,0
-32,406,23,8,3795,1,2,0
-32,400,23,9,3844,2,1,0
-32,384,23,9,3781,1,2,0
-32,389,18,8,3774,1,2,0
-32,385,18,9,3850,2,1,0
-32,387,18,9,3766,1,2,0
-32,375,34,8,3897,2,1,0
-32,378,34,8,3760,1,2,0
-32,384,34,9,3875,2,1,0
-32,399,34,9,3756,1,2,0
-32,381,33,4,3861,3,1,0
-23.04000091552734,618,17,11,3756,1,2,0
-67.39199829101562,635,20,0,3850,3,1,0
-67.39199829101562,585,20,1,3836,3,1,0
-23.04000091552734,607,20,10,3743,1,2,0
-23.04000091552734,598,20,11,3747,1,2,0
-67.39199829101562,600,39,47,3831,3,1,0
-67.39199829101562,608,39,46,3826,3,1,0
-23.04000091552734,600,39,32,3743,1,2,0
-67.39199829101562,613,39,45,3887,3,1,0
-23.04000091552734,604,39,31,3744,1,2,0
-67.39199829101562,591,23,0,3871,3,1,0
-23.04000091552734,589,39,30,3743,1,2,0
-67.39199829101562,587,23,1,3858,3,1,0
-67.39199829101562,615,18,0,3851,3,1,0
-23.04000091552734,594,23,11,3833,1,2,0
-67.39199829101562,592,18,1,3848,3,1,0
-23.04000091552734,589,18,10,3797,1,2,0
-67.39199829101562,591,34,0,3838,3,1,0
-23.04000091552734,590,18,11,3855,1,2,0
-23.04000091552734,584,34,10,3841,1,2,0
-23.04000091552734,584,34,10,3841,1,2,0
null,null,null,null,4093,0,0,0
-67.39199829101562,757,20,0,3828,3,1,2
-67.39199829101562,685,20,1,3833,3,1,2
-67.39199829101562,697,39,47,3884,3,1,2
-67.39199829101562,730,39,46,3870,3,1,2
-67.39199829101562,667,39,45,3861,3,1,2
-67.39199829101562,931,34,1,3854,3,1,2
-67.39199829101562,1005,33,0,3810,4,1,2
-67.39199829101562,715,39,46,3807,4,1,2
-67.39199829101562,737,39,45,3783,4,1,2
67.45599365234375,730,17,35,3782,4,1,2
67.45599365234375,720,17,36,3899,4,1,2
67.45599365234375,677,17,37,3892,4,1,2
67.45599365234375,710,20,35,3880,4,1,2
67.45599365234375,711,20,36,3859,4,1,2
67.45599365234375,722,20,37,3848,4,1,2
67.45599365234375,695,39,2,3839,4,1,2
67.45599365234375,706,39,1,3831,4,1,2
67.45599365234375,702,39,0,3825,4,1,2
67.45599365234375,719,23,36,3820,4,1,2
67.45599365234375,687,23,37,3822,4,1,2
52,699,23,27,3817,4,1,2
52,735,23,28,3775,4,1,2
52,746,18,26,3775,4,1,2
52,706,18,27,3774,4,1,2
52,687,18,28,3774,4,1,2
52,395,34,24,3773,4,1,2
52,519,34,25,3774,4,1,2
52,506,33,12,3773,5,1,2
52,487,17,26,3775,5,1,2
52,1068,39,10,3776,5,1,2
52,1019,39,9,3749,5,1,2
52,998,34,25,3751,5,1,2
52,992,33,12,3746,6,1,2
52,1054,39,10,3748,6,1,2
52,1052,39,9,3734,6,1,2
52,998,34,25,3736,6,1,2
52,1002,33,12,3732,7,1,2
52,1012,39,10,3741,7,1,2
52,1228,39,9,3748,7,1,2
52,1019,34,25,3747,7,1,2
52,994,33,12,3716,8,1,2
52,1028,39,10,3721,8,1,2
52,981,39,9,3810,8,1,2
52,962,34,25,3808,8,1,2
52,1029,33,12,3754,9,1,2
52,1022,39,10,3751,9,1,2
52,981,39,9,3729,9,1,2
52,1024,34,25,3730,9,1,2
52,993,33,12,3770,10,1,2
52,1020,39,10,3767,10,1,2
52,994,39,9,3742,10,1,2
52,989,34,25,3742,10,1,2
52,1001,33,12,3769,11,1,2
66.89599609375,1022,39,4,3765,11,1,2
66.89599609375,986,39,3,3735,11,1,2
-62.83599853515625,1062,39,47,3737,11,1,2
-62.83599853515625,1030,39,46,3724,11,1,2
-62.83599853515625,974,39,45,3724,11,1,2
-62.83599853515625,1030,34,1,3725,11,1,2
-62.83599853515625,979,33,0,3709,12,1,2
76.5,752,39,41,3712,12,1,2
76.5,745,39,40,3741,12,1,2
76.5,737,39,39,3751,12,1,2
76.5,689,18,4,3768,12,1,2
76.5,754,34,4,3753,12,1,2
76.5,899,34,5,3747,12,1,2
76.5,881,33,2,3789,13,1,2
76.5,898,39,40,3780,13,1,2
76.5,850,39,39,3745,13,1,2
76.5,893,34,4,3741,13,1,2
76.5,895,34,5,3762,13,1,2
76.5,849,33,2,3758,14,1,2
76.5,907,39,41,3763,14,1,2
76.5,887,39,40,3757,14,1,2
76.5,833,39,39,3756,14,1,2
76.5,870,34,4,3754,14,1,2
76.5,893,34,5,3727,14,1,2
76.5,859,33,2,3726,15,1,2
76.5,865,39,40,3727,15,1,2
76.5,850,39,39,3716,15,1,2
76.5,837,34,4,3762,15,1,2
76.5,858,34,5,3795,15,1,2
76.5,872,33,2,3791,16,1,2
76.5,876,39,41,3788,16,1,2
76.5,864,39,40,3764,16,1,2
76.5,851,39,39,3763,16,1,2
76.5,846,34,4,3759,16,1,2
76.5,892,34,5,3727,16,1,2
76.5,866,33,2,3726,17,1,2
76.5,872,39,41,3728,17,1,2
